name,brand,price,color,description,numberOfPurchases,category,type,imgUrl
Подушка эргономичная SOMIA Wave,SOMIA,14390,белый,"<p>
 <b>Подушка Somia Wave</b> – это взрослая подушка-трансформер с анатомической поддержкой шеи. Состоит из 4-х слоёв пены разной плотности, которые можно убирать, добавлять и менять их местами так, как вы захотите!
</p><p>
	 Подберите свою уникальную комбинацию для комфортного сна и приятных сновидений!
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/579/624_624_1d8f616e6dafd84ca6b85089cc850afe3/5797c494c082f0260a0eb83184d7d6c5.jpeg
Подушка для сна SOMIA Kids,SOMIA,11390,белый,"<p>
 <b>Подушка Somia Kids</b> – это детская подушка-трансформер классической формы, которая растёт вместе с ребёнком. Внутри подушки 4 слоя различной плотности, что даёт возможность составить 10 комбинаций разной высоты и мягкости для комфортного сна ребёнка. Вынимайте и добавляйте слои, переставляйте их местами и регулируйте мягкость.
</p><p>
	 Somia Kids позаботится о комфортном сне вашего ребёнка!
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/c68/624_624_1d8f616e6dafd84ca6b85089cc850afe3/c68211f9409a2421aeb285f61312354f.jpeg
"Подушка анатомическая Beauty Sleep Omnia, молочная",Beauty Sleep,16990,белый,"<p>
	 Революция в мире подушек — <b>Anti-age подушка Omnia.</b> Обновлённая версия подушки-бестселлера. Новая эргономичная 3D форма минимизирует деформацию кожи, когда Вы спите. Разработана совместно с косметологами, ортопедами и специалистами в области сна. Уникальная форма запатентована и не имеет аналогов в мире.
</p><p>
	 Дополнительный внутренний слой для регулировки высоты подушки позволяет менять высоту изделия в зависимости от индивидуальных предпочтений. Фирменная наволочка Beauty Sleep Omnia в комплекте. Ткань: 100% Tencel — натуральное эвкалиптовое волокно. Безопасность материалов подушки подтверждена международным сертификатом OEKO-TEX®️ STANDARD 100 самого высокого класса 1 (класс безопасности с первых лет жизни).
</p>",0,Ортопедические подушки,анатомическая,https://cdn.orteka.ru//upload/resize_cache/iblock/742/624_624_1d8f616e6dafd84ca6b85089cc850afe3/4x4ajwc7je3hkvleal99npvv44qn6q9l.jpg
"Подушка декоративная TRELAX П117 Дракон, бирюзовая",TRELAX,1690,голубой,"<p>
	 Дорожная подушка, благодаря своей эргономичной форме, поддерживает шею и голову в правильном положении, обеспечивая комфорт и удобство во время длительных перелетов, поездок на автомобиле или на поезде. Особый наполнитель в виде шариков полистирола подстраивается под форму вашей шеи, снимает мышечное напряжение и обеспечивает эффект микромассажа. Яркий дизайн в виде дракона отлично подойдет как взрослым, так и детям.
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/3c7/624_624_1d8f616e6dafd84ca6b85089cc850afe3/oaxjd7f08eiaf7safw2lqeulfhlj35wq.jpeg
"Подушка эргономичная LUBUA Darli П501, лиловая",LUBUA,14989,сиреневый,"<p>
 <b>LUBUA´</b> - премиальный бренд с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.
</p><p>
</p><p>
 <b>DARLI´</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Ее классическая форма — это идеальное решение для тех, кто меняет свое положение во время сна.
</p><p>
	 Универсальная эргономичная форма подушки поддерживает естественный изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/328/624_624_1d8f616e6dafd84ca6b85089cc850afe3/3a7tsz4dkil2799rhuhbz4kj71mkpged.JPG
Подушка TEMPUR Ombracio,TEMPUR,35990,белый,"<p>
 <b>Эргономичная подушка Ombracio TEMPUR®</b> с технологией SmartCool имеет уникальную форму звезды, которая поддерживает положение во время сна, но особенно подходит для людей, спящих на животе. Форма подушки позволяет пользователям обнимать подушку во время сна на животе, а также облегчает дыхание.
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/b8c/624_624_1d8f616e6dafd84ca6b85089cc850afe3/24l8v4uz6dtq0hfjy8dv3l3ze8sbilrt.jpg
Подушка TEMPUR Millenium,TEMPUR,18990,белый,"<p>
Эргономичная подушка <b>Millenium TEMPUR®</b> с технологией SmartCool гарантирует правильную поддержку шеи, несмотря на то, спите ли Вы на спине или на боку. Наклонный край обеспечивает уникальный комфорт и идеально поддерживает верхние позвонки. Модель представлена в двух различных вариантах, которые отличает друг от друга высота: средняя (M) и высокая (L)
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/ec1/624_624_1d8f616e6dafd84ca6b85089cc850afe3/yrqqzghvky3ip2mumbzcn4n4ugzmfl9p.jpg
"Подушка эргономичная LUBUA Niature П502, лиловая",LUBUA,14989,сиреневый,"<p>
 <b>LUBUA´</b> - премиальный бренд с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.
</p><p>
 <b>NIATU´RE</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Особая лунообразная форма — это идеальное решение для тех, кто предпочитает не большие подушки для сна. Ее уникальная&nbsp;форма поддерживает естественный изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал&nbsp;плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p><p>
 <i>«Дорогой покупатель, вы можете спать как захотите. Не меняйте своих привычек, оставайтесь собой, подушка LUBUA´ запомнит, как вы любите», - ваш Henri Dubois.</i>
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/0fb/624_624_1d8f616e6dafd84ca6b85089cc850afe3/m38hx7xx6o9j554ndobofndkgblghhic.jpg
"Подушка эргономичная LUBUA Lepapi П503, лиловая",LUBUA,14989,сиреневый,"<p>
 <b>LUBUA´</b> - премиальный бренд эргономичных подушек с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.
</p><p>
 <b>LEPAPI´</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Особая форма в виде «бабочки» — это идеальное решение для тех, кто предпочитает спать на животе. Уникальная форма эргономичной подушки поддерживает естественный&nbsp;изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p><p>
 <i>«Дорогой покупатель, вы можете спать как захотите. Не меняйте своих привычек, оставайтесь собой, подушка LUBUA´ запомнит, как вы любите», - ваш Henri Dubois.</i>
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/e50/624_624_1d8f616e6dafd84ca6b85089cc850afe3/45hs2nrx1ox05r9ge2plp78k1it40t1s.jpg
"Подушка эргономичная LUBUA Darli П501, молочная",LUBUA,14989,белый,"<p>
 <b>DARLI´</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Ее классическая форма — это идеальное решение для тех, кто меняет свое положение во время сна.
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/fa4/624_624_1d8f616e6dafd84ca6b85089cc850afe3/fm7lby1rvj8vhxz130y0ldjpd0pvb2v9.JPG
"Подушка эргономичная LUBUA Lepapi П503, мокко",LUBUA,14989,коричневый,"<p>
 <b>LUBUA´</b> - премиальный бренд эргономичных подушек с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.
</p><p>
 <b>LEPAPI´</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Особая форма в виде «бабочки» — это идеальное решение для тех, кто предпочитает спать на животе. Уникальная форма эргономичной подушки поддерживает естественный&nbsp;изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p><p>
 <i>«Дорогой покупатель, вы можете спать как захотите. Не меняйте своих привычек, оставайтесь собой, подушка LUBUA´ запомнит, как вы любите», - ваш Henri Dubois.</i>
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/6e6/624_624_1d8f616e6dafd84ca6b85089cc850afe3/98uekm50e2zsu5oop2lqx9290a3m3u35.jpg
"Подушка эргономичная LUBUA Niature П502, мокко",LUBUA,14989,коричневый,"<p>
 <b>LUBUA´</b> - премиальный бренд с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.
</p><p>
 <b>NIATU´RE</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Особая лунообразная форма — это идеальное решение для тех, кто предпочитает не большие подушки для сна. Ее уникальная&nbsp;форма поддерживает естественный изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал&nbsp;плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p><p>
 <i>«Дорогой покупатель, вы можете спать как захотите. Не меняйте своих привычек, оставайтесь собой, подушка LUBUA´ запомнит, как вы любите», - ваш Henri Dubois.</i>
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/da1/624_624_1d8f616e6dafd84ca6b85089cc850afe3/0yatk11fflx4gafjjobc2bh7vnklsk7e.jpg
"Подушка эргономичная LUBUA Darli П501, мокко",LUBUA,14989,коричневый,"<p>
 <b>LUBUA´</b> - премиальный бренд с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.<br>
</p><p>
</p><p>
 <b>DARLI´</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Ее классическая форма — это идеальное решение для тех, кто меняет свое положение во время сна.
</p><p>
	 Универсальная эргономичная форма подушки поддерживает естественный изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p><p>
 <i>«Дорогой покупатель, вы можете спать как захотите. Не меняйте своих привычек, оставайтесь собой, подушка LUBUA´ запомнит, как вы любите», - ваш Henri Dubois.</i>
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/10c/624_624_1d8f616e6dafd84ca6b85089cc850afe3/whewf97r48llbpgd4kt2ndkgvmy0ygms.jpg
"Подушка эргономичная LUBUA Niature П502, молочная",LUBUA,14989,белый,"<p>
 <b>LUBUA´</b> - премиальный бренд с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.
</p><p>
 <b>NIATU´RE</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Особая лунообразная форма — это идеальное решение для тех, кто предпочитает не большие подушки для сна. Ее уникальная&nbsp;форма поддерживает естественный изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал&nbsp;плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p><p>
 <i>«Дорогой покупатель, вы можете спать как захотите. Не меняйте своих привычек, оставайтесь собой, подушка LUBUA´ запомнит, как вы любите», - ваш Henri Dubois.</i>
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/ceb/624_624_1d8f616e6dafd84ca6b85089cc850afe3/6n8601bk3ht5ocpdyfpfnbgq15rx56kq.jpg
"Подушка эргономичная LUBUA Lepapi П503, молочная",LUBUA,14989,белый,"<p>
 <b>LUBUA´</b> - премиальный бренд эргономичных подушек с французским дизайном создан для тех, кто ценит комфорт и роскошь во время сна.
</p><p>
 <b>LEPAPI´</b> - уникальная эргономичная подушка с эффектом памяти и ионами серебра специально разработана французским дизайнером Henri Dubois для максимального расслабления во время сна. Особая форма в виде «бабочки» — это идеальное решение для тех, кто предпочитает спать на животе. Уникальная форма эргономичной подушки поддерживает естественный&nbsp;изгиб вашего позвоночника и помогает снять напряжение и усталость в области шеи и плеч. Подушка выполнена из инновационного материала - вязкоэластичного пенополиуретана с эффектом памяти. Необычайно комфортный и мягкий материал плавно подстраивается под контуры головы и шеи, создавая благоприятные условия для быстрого погружения в сон.
</p><p>
 <i>«Дорогой покупатель, вы можете спать как захотите. Не меняйте своих привычек, оставайтесь собой, подушка LUBUA´ запомнит, как вы любите», - ваш Henri Dubois.</i>
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/76b/624_624_1d8f616e6dafd84ca6b85089cc850afe3/ldsrcq9ke73fh1oi2t71t8w21jmh7p5t.jpg
"Подушка ортопедическая TRELAX Respecta Baby П35, молочная",TRELAX,6990,белый,"<p>
 <b>Ортопедическая подушка TRELAX Respecta Baby</b> с эффектом памяти и ионами серебра разработана при участии врачей-ортопедов, обеспечивает физиологически правильное положение ребенка во время сна и отдыха. Данная модель предназначена для детей от 3-х лет до 8 лет, улучшает качество сна ребенка, снимает мышечное напряжения и нормализует кровообращение.
</p><p>
	 Качественный сон - это инвестиция в здоровье! Подарите ребёнку возможность не просто спать, а по-настоящему высыпаться. TRELAX – эксперт здорового сна! Ортопедическая подушка TRELAX Respecta Baby гарантирует спокойный и полезный сон!
</p><p>
	 Рекомендованная поза для сна: на спине, на боку и на животе.
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/bb1/624_624_1d8f616e6dafd84ca6b85089cc850afe3/o01pem2foejjuzmsj1gexyq00j0ukmja.jpg
"Подушка анатомическая BENEPOM NECK SUPPORT, белая",BENEPOM,10790,белый,"<p>
<b>Подушка для поддержки шеи с подложкой Neck Support бренда Benepom</b> – это функциональная подушка, обеспечивающая правильное положение тела во время сна. Эргономичный дизайн подушки и технология C-Spine помогают сохранять естественный С-образный изгиб шеи во время сна. 
</p><p>
Отдыхайте и заряжайтесь энергией с подушкой Neck Support! 
</p>",0,Ортопедические подушки,анатомическая,https://cdn.orteka.ru//upload/resize_cache/iblock/73c/624_624_1d8f616e6dafd84ca6b85089cc850afe3/73cd00f801c34d5068870d8072f994dc.jpeg
Подушка ортопедическая TRELAX Cruise П36,TRELAX,4490,серый,"<p>
 <b>Ортопедическая подушка TRELAX Cruise</b> с эффектом памяти и ионами серебра, разработана при участии врачей ортопедов, предназначена для комфорта и ортопедической поддержки шейного отдела позвоночника в путешествиях. Подушка-воротник позволит вам удобно расположиться в кресле и надёжно зафиксировать шейный отдел позвоночника, обеспечивая максимальное расслабление при длительных поездках и авиаперелетах.
</p><p>
	 Сохраните бодрость и хорошее самочувствие даже в длительных поездках! С подушкой Cruise TRELAX вы получите максимум удовольствия и комфорта от путешествий!
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/bca/624_624_1d8f616e6dafd84ca6b85089cc850afe3/qqaljl2u4v96ftgpffhs0bsh4dekal6r.jpg
"Подушка ортопедическая TRELAX Medica П06, синяя",TRELAX,4490,синий,"<p>
 <b>Ортопедическая подушка TRELAX Medica</b> на сидение с ионами серебра создана при участии врачей-ортопедов, предназначена для разгрузки крестца, копчика и тазового кольца.
</p><p>
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/013/624_624_1d8f616e6dafd84ca6b85089cc850afe3/rao0ae7cinhv50wtunlqm0jkvmk0c6jk.jpg
Подушка ортопедическая TRELAX Respecta Compact П07,TRELAX,5490,белый,"<p>
 <b>Ортопедическая подушка TRELAX Respecta Compact</b> с эффектом памяти и ионами серебра - это сокращённая версия классической подушки Respecta (размера M). Эта комфортная модель оказывает физиологически правильную, ортопедическую поддержку головы и шеи во время сна и отдыха. Уменьшенный размер позволяет легко взять подушку с собой в путешествие.
</p><p>
	 Качественный сон - это инвестиция в здоровье! Подарите своему телу возможность не просто спать, а по-настоящему высыпаться. TRELAX – эксперт здорового сна! Ортопедическая подушка Respecta Compact гарантирует вам спокойный и полезный сон!
</p><p>
	 Рекомендованная поза для сна: на боку, на спине, на животе.
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/1e6/624_624_1d8f616e6dafd84ca6b85089cc850afe3/tm9v0y9plkcpljgz9nag4eit39zm1lvk.jpg
"Подушка ортопедическая TRELAX Respecta Compact П07, молочная",TRELAX,5490,белый,"<p>
 <b>Ортопедическая подушка TRELAX Respecta Compact</b> с эффектом памяти и ионами серебра - это сокращённая версия классической подушки Respecta (размера M). Эта комфортная модель оказывает физиологически правильную, ортопедическую поддержку головы и шеи во время сна и отдыха. Уменьшенный размер позволяет легко взять подушку с собой в путешествие.
</p><p>
	 Качественный сон - это инвестиция в здоровье! Подарите своему телу возможность не просто спать, а по-настоящему высыпаться. TRELAX – эксперт здорового сна! Ортопедическая подушка Respecta Compact гарантирует вам спокойный и полезный сон!
</p><p>
	 Рекомендованная поза для сна: на боку, на спине, на животе.
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/c47/624_624_1d8f616e6dafd84ca6b85089cc850afe3/wtk1hkw6e1jcg34pq53c4h5lsuv2296a.jpg
"Подушка ортопедическая TRELAX Spectra П04, серая",TRELAX,4490,серый,"<p>
 <b>Ортопедическая подушка под спину TRELAX Spectra с ионами серебра</b> разработана при участии врачей ортопедов, мягко поддерживает и снимает нагрузку с поясничного отдела позвоночника, возникающую при длительном сидении на работе, во время учёбы и вождении автомобиля. Предназначена для обычных кресел, стульев и автомобильных сидений.
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/291/624_624_1d8f616e6dafd84ca6b85089cc850afe3/2912b8122b9f3d26c1fac417554f740a.jpg
"Подушка ортопедическая TRELAX Autoback П12, черная",TRELAX,3490,черный,"<p>
 <b>Ортопедическая подушка под спину TRELAX Autoback</b> разработана при участии врачей ортопедов, мягко поддерживает и снимает нагрузку с поясничного отдела позвоночника, возникающую во время длительного вождения автомобиля. Размер подушки адаптирован и подходит для любых типов сидений автомобилей.
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/7e5/624_624_1d8f616e6dafd84ca6b85089cc850afe3/1fg0rxh7ttrw0qt4x5tnlswtkdddkhqg.jpg
"Подушка ортопедическая TRELAX Autohead П16, черная",TRELAX,3490,черный,"<p>
 <b>Ортопедическая подушка под голову TRELAX Autohead</b> разработана при участии врачей ортопедов, предназначена для комфорта и ортопедической поддержки шейного отдела позвоночника во время вождения автомобиля. Эта подушка обеспечивает комфортную поддержку шейного отдела позвоночника и уменьшает утомляемость за рулём, особенно при режиме движения “старт-стоп” в городских пробках.
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/203/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/mex31u9mqwdysbe3pva8p25cxj3gecx1.jpg
Подушка ортопедическая TRELAX Banana П33,TRELAX,6490,голубой,"<p>
 <b>Ортопедическая подушка TRELAX Banana</b> создана при участии врачей-ортопедов и педиатров. Ортопедическая подушка Banana предназначена для беременных, кормящих мам и для детей в возрасте до 1,5 лет. Особая конструкция оказывает поддержку живота в период беременности, снимает нагрузку в области поясницы, а также помогает при кормлении и уходе за ребенком.
</p><p>
	 Banana Trelax пригодится и для малыша, и для мамы: подушка обеспечивает комфортное положение тела, поясницы и живота мамы в период беременности или кормления, и гарантирует спокойный и полезный сон маме и малышу!
</p><p>
</p><p>
	</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/338/624_624_1d8f616e6dafd84ca6b85089cc850afe3/w7bycq2g5ne84k8k5e7tebirzl9pvwq2.jpg
